"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500"
"37183001-03",5,9,2,8,14,6,8,14,5,2,12,11,3,3,3,3,7,8,5,8,8,12,3,7,13,6,6,2,2,2,11
"37011000016",14,3,13,10,2,12,7,2,12,13,10,13,8,9,4,8,10,10,4,4,2,9,14,14,10,8,7,14,14,8,8
"3713300RL09",9,6,14,6,8,9,6,9,6,6,11,5,6,1,11,6,6,9,7,1,3,3,7,13,3,12,13,13,6,9,2
"37011000015",12,3,13,10,2,12,7,2,12,13,10,13,8,8,10,8,10,10,4,2,2,9,14,14,10,8,7,7,14,8,8
"37049000019",4,4,5,6,8,9,6,6,3,3,11,3,14,1,11,1,1,9,1,12,3,3,7,13,3,12,13,13,6,9,9
"3712700P24A",6,5,4,2,9,8,3,8,3,9,6,14,1,12,3,5,5,6,1,12,5,13,1,1,1,9,6,2,3,11,2
"37011000014",12,3,13,10,2,12,7,2,12,13,10,13,8,8,10,8,10,10,4,2,2,9,14,14,10,8,7,7,14,8,8
"37119000239",10,13,12,12,10,10,11,11,4,8,4,9,4,14,2,2,12,4,10,10,14,4,9,5,5,14,10,10,7,5,7
"37049000017",9,4,5,6,8,9,6,6,3,3,11,3,14,1,11,1,1,9,1,1,3,3,7,13,3,12,13,13,6,9,9
"37037000020",2,8,11,11,1,1,9,3,14,11,2,1,5,5,5,11,11,8,8,3,1,12,6,6,13,2,2,12,3,14,5
"37119000237",10,13,12,7,10,11,12,11,4,8,4,8,4,14,2,2,12,4,10,13,14,14,9,5,5,14,10,10,7,5,14
"37119000236",10,1,7,7,10,13,12,11,11,5,8,9,4,14,14,12,4,12,6,11,14,14,12,9,5,14,14,14,14,12,12
"37119000235",10,1,7,12,10,13,12,1,11,8,8,9,2,2,14,14,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"37119000234",10,1,7,7,10,13,12,1,11,8,8,9,2,2,14,12,4,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"37119000233",10,13,7,7,12,13,11,1,11,5,8,8,2,2,14,14,9,12,6,11,14,14,12,9,11,5,5,5,5,7,14
"370450RIPPY",12,3,10,13,13,10,7,12,1,1,13,4,9,9,4,8,10,10,2,4,2,9,14,14,10,8,7,7,10,8,8
"3715700ED-1",3,11,3,14,5,4,1,13,2,14,14,2,7,7,8,4,8,5,9,9,12,5,1,1,1,1,1,4,13,13,13
"37183001-13",5,9,2,8,14,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,12,3,7,6,13,6,2,2,2,11
"37037000024",1,8,8,11,1,7,13,4,13,4,2,1,5,11,5,9,14,14,13,6,9,12,6,2,2,2,2,1,12,3,3
"37183001-12",5,9,2,8,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,3,7,6,6,6,2,2,1,11
"37183001-11",5,9,2,8,4,6,8,14,5,2,12,11,3,3,9,3,7,8,5,8,8,1,3,7,6,6,6,2,2,1,11
"37183001-10",5,9,2,8,4,6,8,14,5,2,12,11,3,3,3,3,7,8,5,8,8,1,3,7,13,6,6,2,2,1,11
"37037000021",1,8,11,11,6,5,1,13,2,7,5,1,5,5,5,9,14,14,13,3,13,12,6,3,2,2,4,12,12,14,5
"37049000005",9,4,5,6,8,8,6,6,6,3,11,3,14,1,11,1,6,9,1,1,3,3,7,13,3,12,13,13,6,9,9
"37049000003",9,4,5,6,8,8,6,6,6,3,11,3,14,1,11,1,6,9,1,1,3,3,7,13,3,12,13,13,6,9,9
"37049000002",4,4,5,6,8,9,6,6,3,3,11,3,14,1,11,1,1,9,1,12,3,3,7,13,3,12,13,13,6,9,9
"37131CREEKS",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"3712700P23A",6,5,4,2,9,8,3,8,3,9,6,14,1,12,1,5,5,11,1,12,5,13,1,1,1,9,6,2,3,11,2
"37125000TLT",13,8,8,11,6,7,13,4,13,4,9,1,5,11,6,12,2,1,14,14,6,11,5,2,2,2,2,1,1,6,6
"37049000007",9,6,5,6,8,9,6,6,3,3,11,3,14,1,11,1,1,9,7,12,5,3,7,13,3,12,13,13,6,9,2
"3707300004S",9,5,5,6,9,8,6,6,3,3,6,3,1,1,11,1,1,9,1,12,5,13,7,13,1,9,12,13,13,9,9
"37183017-09",5,9,2,2,14,6,8,14,5,2,12,14,3,3,3,5,7,7,5,8,8,1,13,6,6,13,6,9,2,2,11
"3712900CF06",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"3715500026A",13,14,8,3,6,7,13,4,13,4,9,12,5,4,6,12,11,3,12,7,6,2,4,8,4,7,2,1,4,6,6
"37025009-00",13,1,7,7,10,13,12,11,11,5,4,9,4,11,2,2,4,1,13,13,10,7,11,11,5,14,4,11,12,3,3
"3712900CF05",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"37177000001",9,5,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"370330PROVI",1,11,9,14,5,5,1,13,2,14,14,2,7,10,9,9,3,11,3,9,13,6,1,1,1,1,1,4,13,14,5
"37037000015",2,8,11,11,1,1,9,3,14,2,2,1,5,5,5,9,3,11,13,3,13,12,6,3,9,2,4,12,9,14,5
"3712900CF02",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,3,8,4,7,4,9,6,4,6,6
"3712900CF01",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,3,8,4,7,4,9,6,4,6,6
"37183017-10",5,9,2,2,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,3,7,6,13,6,2,2,1,11
"37123000LIT",13,14,8,3,6,7,13,4,13,4,9,1,5,11,6,7,14,14,13,14,9,7,11,11,8,2,4,11,12,3,3
"37183001-02",5,9,2,8,14,6,8,14,5,2,12,11,3,3,3,3,7,8,5,8,8,12,3,7,13,6,6,2,2,2,11
"37183001-01",5,9,2,8,14,6,8,14,5,2,12,11,3,3,3,3,7,8,5,8,8,12,3,7,13,6,6,2,2,2,11
"37179000007",10,1,7,7,12,13,12,1,11,5,8,9,4,2,14,14,2,12,6,14,6,2,12,9,4,7,5,5,5,7,14
"37179000006",13,14,7,7,12,13,12,1,11,5,8,9,4,2,14,12,2,1,14,14,6,2,4,8,11,7,14,14,14,12,12
"37179000005",10,1,7,7,12,13,12,1,11,5,8,9,2,2,14,14,9,12,14,14,14,14,4,8,4,7,14,14,14,12,12
"3706100ALBE",9,2,4,9,8,9,6,9,8,3,3,5,14,1,1,6,1,6,7,1,3,13,7,13,3,12,13,4,6,11,2
"37067000111",3,7,3,14,5,4,5,5,10,14,7,7,10,6,8,4,8,5,9,9,12,5,2,12,1,3,1,3,11,13,13
"37179000004",13,1,7,7,12,13,12,1,11,5,8,9,4,2,14,12,2,1,14,14,6,2,4,8,4,7,4,1,12,3,3
"37179000003",13,1,7,7,12,13,12,1,11,5,8,9,4,2,14,12,2,1,14,14,6,2,12,8,4,7,4,1,12,3,3
"37179000002",13,1,7,7,12,13,12,1,11,5,8,9,4,2,14,14,2,12,14,14,6,2,12,9,4,7,4,1,12,3,3
"3701300WDPD",9,4,5,6,8,8,6,6,3,3,11,3,14,1,1,1,1,9,1,12,5,3,7,13,3,12,13,13,6,9,9
"37125000PDN",13,14,11,3,6,7,13,4,13,4,9,1,5,11,6,11,2,1,14,6,6,11,5,2,2,2,4,1,1,6,6
"37179000001",13,1,7,7,12,13,12,1,11,5,8,9,2,2,14,12,2,12,14,14,6,2,4,8,4,7,14,14,14,12,12
"371510000TT",3,14,8,3,6,7,13,4,13,4,9,1,5,6,8,7,14,14,13,6,10,11,5,2,2,2,4,3,12,3,3
"37177000003",9,5,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"37037000018",1,8,11,11,1,7,13,13,14,11,2,1,5,11,5,9,14,14,13,3,1,12,6,2,2,2,2,12,1,4,5
"37177000002",9,5,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"371510000TR",3,14,3,3,6,7,13,4,13,4,9,7,10,6,8,7,14,2,9,6,9,11,5,2,2,2,4,3,12,3,3
"37183017-13",5,9,2,2,4,6,8,14,5,2,12,14,3,12,3,3,7,7,5,8,8,1,13,6,6,13,6,2,2,2,11
"3701700P202",4,6,8,4,3,3,14,9,6,4,9,12,6,4,12,6,11,3,12,7,6,8,8,4,7,4,9,6,4,4,4
"37183017-12",5,9,2,2,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,13,6,6,13,6,2,2,2,11
"3701700P201",4,6,8,4,3,7,13,4,13,4,9,12,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,4,4
"37183017-11",5,9,14,2,4,6,8,14,5,2,12,14,3,12,3,3,7,7,5,8,8,1,3,6,6,13,6,2,2,1,11
"37179000009",13,14,8,7,12,13,13,11,11,4,8,9,4,11,6,12,2,1,14,14,6,2,4,8,4,7,4,1,12,3,3
"37179000008",13,14,7,7,12,13,12,1,11,5,8,9,4,2,14,12,2,1,14,14,6,2,4,8,4,7,4,1,12,3,3
"37067000112",3,7,3,14,11,4,5,5,10,14,7,7,10,7,8,4,8,5,9,9,12,5,2,12,1,3,1,3,11,13,13
"37037000042",2,8,11,11,1,1,9,3,14,2,2,1,5,5,5,11,3,8,8,3,1,12,6,3,13,2,2,12,9,14,5
"3705100MR02",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"3710900LW31",12,12,1,1,7,10,4,7,12,1,13,8,9,9,4,10,12,4,10,13,4,4,9,5,5,5,10,7,7,5,7
"371510000UG",13,14,8,3,6,7,13,4,13,4,9,1,5,11,6,7,14,14,13,6,9,11,11,11,8,2,4,11,12,3,3
"3708100G42B",1,11,9,14,11,4,5,13,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,3,11,13,13
"3710900SL24",12,3,1,1,7,10,7,7,1,1,13,4,9,9,4,8,12,4,4,4,4,9,9,11,8,8,7,7,10,8,7
"3708100G42A",1,11,9,14,11,4,5,13,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,3,11,13,13
"3710900LW18",12,12,1,1,7,10,7,7,12,1,13,10,9,9,4,8,12,4,10,13,4,4,14,14,10,8,10,7,7,5,7
"3714500SWST",6,5,9,2,5,5,10,10,5,7,14,6,11,10,9,9,3,11,3,5,13,6,1,1,1,9,3,12,9,14,1
"37037000045",2,8,11,11,1,1,9,3,14,11,2,1,5,5,5,11,11,8,8,3,1,12,6,2,2,2,2,12,1,14,5
"371510000SW",13,14,8,3,6,7,13,4,13,4,9,1,5,8,6,2,14,14,13,6,9,11,11,11,8,14,4,11,12,3,3
"37009000012",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W25",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"37183017-07",5,9,2,2,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,3,6,6,13,6,2,2,1,11
"37009000011",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37183017-06",5,9,2,2,14,6,8,14,5,2,12,14,3,3,3,5,7,7,5,8,8,1,13,6,6,13,6,9,3,2,11
"37129000W24",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37009000010",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"371510000ST",1,14,11,11,5,5,1,13,13,4,14,2,10,6,7,9,14,14,13,6,13,11,6,2,2,2,4,11,12,14,5
"37183017-05",5,9,2,2,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,3,6,6,13,6,2,2,1,11
"37183017-04",5,9,14,8,4,6,8,14,5,2,12,14,3,12,3,5,7,7,5,8,8,1,3,7,6,13,6,2,2,2,11
"37129000W21",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37183017-03",5,9,2,2,4,6,8,14,5,2,12,14,3,12,3,3,7,7,5,8,8,1,3,6,6,13,6,2,2,1,11
"370910000UN",9,5,5,6,9,8,6,6,3,3,6,3,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"37183017-02",5,9,14,8,4,6,8,14,5,2,12,14,3,3,3,5,7,7,5,8,8,1,13,6,6,13,6,2,3,2,11
"37183017-01",5,9,2,2,4,6,8,14,5,2,12,14,3,3,3,3,7,7,5,8,8,1,3,6,6,13,6,2,2,1,11
"370210032.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37009000018",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37009000017",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37009000016",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W29",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37067000101",3,7,3,5,5,4,5,5,10,14,7,7,10,6,8,4,8,5,11,9,12,5,2,12,12,3,1,3,11,13,13
"371870000SC",9,5,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"37009000015",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,7,11,11,8,11,14,14,14,12,12
"370210045.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37129000W28",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37009000014",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37037000030",1,8,11,11,6,5,1,13,14,11,2,1,5,6,7,9,14,14,13,3,1,12,6,2,9,2,4,12,12,14,5
"37129000W27",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"37009000013",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,14,14,12,12
"37129000W26",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"371190204.1",10,13,12,7,10,11,12,11,4,5,4,8,4,14,2,2,12,4,13,13,14,14,9,5,5,14,10,5,5,7,14
"3714100MT19",4,6,14,4,3,3,14,9,6,6,3,5,6,1,12,12,6,1,7,1,3,3,8,4,7,4,9,6,4,6,6
"371870000SK",9,5,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"371510000TB",13,14,8,3,6,7,13,4,13,4,9,1,5,8,6,7,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"3704900TE13",9,4,5,6,8,8,6,6,3,3,11,3,14,1,1,1,1,9,1,12,5,3,7,13,3,12,13,13,6,9,9
"3713300FS16",4,4,14,6,3,3,14,9,6,6,11,3,6,1,12,6,6,9,7,1,3,3,8,4,3,12,9,6,4,9,9
"37081000G13",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,3,13
"37081000G12",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,11,11,3,13
"37081000G11",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,1,1,11,13,3,13
"37081000G10",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,8,14,13,9,12,5,2,2,2,1,1,4,13,14,13
"3714100LU16",4,6,14,4,3,3,14,9,6,6,3,5,6,4,12,6,6,6,7,1,3,8,8,4,3,12,9,6,6,6,6
"37129000W13",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37129000W12",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"37081000G19",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,11,11,3,13
"37081000G18",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,11,11,3,13
"37081000G17",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,13,13
"37081000G16",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,4,11,13,13
"37081000G15",1,11,9,14,11,5,5,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,13,13
"37009000009",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37009000008",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37081000G14",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,3,13
"37009000007",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37009000006",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W18",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37009000004",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W17",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37009000003",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W16",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37009000002",14,3,13,10,2,12,7,12,12,13,1,10,8,8,10,8,10,10,4,4,2,9,14,14,10,11,14,7,14,12,12
"37129000W15",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,6,2,1,14,14,7,8,8,4,7,4,9,6,4,6,6
"3706100ROSE",9,2,14,4,3,3,6,9,8,6,3,5,6,4,12,6,6,6,7,1,3,3,8,4,7,4,9,6,6,11,2
"37081000G02",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,1,1,11,13,3,13
"37081000G01",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,13,6,12,5,2,2,2,1,1,11,13,3,13
"37081000G09",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,8,14,13,9,12,5,2,2,2,1,1,4,13,3,13
"37081000G08",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,8,14,13,9,12,5,2,2,2,1,1,4,13,3,13
"37081000G07",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,14,14,9,6,12,5,2,2,2,1,1,11,13,3,13
"3713100WOPO",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"37081000G06",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,3,1,11,13,14,13
"37081000G05",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,1,1,4,13,14,13
"370910000WN",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,9
"37081000G04",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,3,1,11,13,3,13
"37081000G03",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,1,1,4,13,3,13
"3719901-BUR",7,10,13,13,2,2,2,2,7,13,10,13,13,13,13,13,13,13,4,2,2,9,14,10,10,10,8,8,8,10,10
"370630034-1",2,8,11,11,1,14,10,10,14,7,5,6,11,10,5,3,3,8,8,5,1,12,6,3,9,6,12,12,9,14,1
"3700100010N",1,11,9,14,5,5,1,13,2,14,14,6,11,7,7,7,3,11,3,5,13,6,1,1,9,1,3,12,9,14,1
"37081000G35",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,4,11,13,13
"370210010.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370830RR1-2",6,5,5,6,9,8,3,8,3,9,6,14,1,12,11,1,5,11,3,12,5,1,1,1,1,9,12,4,13,11,1
"37081000FR4",1,11,9,14,11,4,5,13,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,3,11,13,13
"37081000G34",1,11,9,14,11,5,5,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,13,13
"37081000G33",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,13,13
"37081000FR3",1,11,9,14,11,4,5,13,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,3,11,13,13
"37081000G32",1,11,9,14,11,5,5,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,4,11,13,13
"37081000FR2",1,7,3,5,11,5,1,5,2,12,7,2,7,6,7,7,8,5,9,6,12,5,2,12,12,3,3,3,11,13,13
"37081000FR1",1,7,3,5,11,5,1,5,13,4,14,2,7,6,7,7,14,5,9,6,12,5,2,12,12,3,3,11,11,13,13
"37081000G31",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,11,11,13,13
"3706100WALL",9,2,14,6,3,3,14,9,8,6,3,5,6,1,11,6,6,6,7,1,3,3,8,4,7,4,9,6,6,11,2
"37081000G30",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,8,14,9,6,12,5,2,12,12,1,1,4,11,13,13
"3712700P18A",6,5,4,2,9,8,3,8,3,9,6,14,1,12,3,5,5,6,1,5,5,13,1,1,1,9,6,2,3,11,2
"370630034-2",2,8,11,11,1,14,10,10,14,7,12,6,11,10,5,3,3,8,8,5,1,12,6,3,9,6,12,12,9,14,1
"3700100010S",1,11,9,14,5,5,1,13,2,14,14,6,11,7,7,7,3,11,3,5,13,6,1,3,9,1,3,11,13,14,1
"37129000W31",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37081000G39",1,11,9,14,11,5,5,13,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,4,11,13,13
"37129000W30",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37081000G38",1,11,3,14,11,4,5,5,2,12,14,7,7,7,7,7,14,14,9,6,12,5,2,12,12,1,1,3,11,13,13
"37081000G37",1,7,9,14,11,5,5,5,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,4,11,13,13
"37081000G36",1,11,9,5,11,5,5,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,12,12,3,1,4,11,13,13
"3704700P16B",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"3714100CF11",4,6,14,4,3,3,14,9,6,6,3,5,6,4,12,6,2,6,14,14,7,3,8,4,7,4,9,6,6,6,6
"3708100JAM5",3,7,9,5,5,5,1,4,13,4,9,2,10,6,8,7,14,14,9,6,9,11,5,12,12,3,3,11,12,3,3
"3708100JAM4",1,7,9,5,11,5,1,4,13,4,9,2,7,6,7,7,14,5,9,9,9,11,5,12,12,3,3,11,12,13,3
"3714701512B",9,4,5,9,8,9,3,6,3,3,11,3,14,12,1,1,1,11,7,12,3,13,7,1,3,12,13,13,6,11,9
"3708100JAM3",1,7,9,5,11,5,1,4,2,12,9,2,7,7,7,7,14,5,9,6,9,11,5,12,12,3,3,11,11,3,13
"37037000006",1,8,8,11,6,7,13,4,13,4,9,1,5,11,6,9,14,14,13,6,9,11,5,2,2,2,2,11,12,3,3
"3714701512A",9,6,5,9,8,9,3,6,3,3,11,3,14,12,1,5,1,11,7,12,3,13,7,1,3,12,13,13,6,11,9
"3708100JAM2",1,7,3,5,11,5,1,5,13,4,9,2,7,6,7,7,14,5,9,9,9,11,5,12,12,3,3,11,11,13,13
"3708100JAM1",1,7,3,5,11,5,1,5,10,12,7,2,7,6,7,7,14,5,9,9,9,11,5,12,12,3,3,3,11,13,3
"37037000003",1,8,11,11,5,5,1,13,13,4,9,2,7,6,7,9,14,14,13,6,13,12,6,3,2,2,4,12,12,14,5
"37025002-03",10,1,12,7,10,11,4,11,4,1,4,9,4,14,2,2,4,2,13,11,10,7,12,5,5,14,10,10,7,5,14
"37025002-02",10,1,1,1,7,10,4,11,4,1,4,9,4,14,2,2,12,2,11,10,4,4,9,5,5,14,10,10,7,5,7
"37081000G24",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,8,14,13,9,12,5,2,12,12,1,1,11,11,13,13
"3705500STPT",9,4,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"37025002-01",10,1,1,1,6,10,4,11,4,1,4,9,4,14,2,2,4,2,11,13,4,4,9,5,5,14,14,14,14,12,12
"37081000G23",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,8,14,9,9,12,5,2,12,12,1,1,11,13,3,13
"37081000G22",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,8,14,13,9,12,5,2,2,2,1,1,11,13,13,13
"37081000G21",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,4,8,14,13,9,12,5,2,2,2,1,1,11,13,3,13
"3712700P17A",6,5,4,2,9,8,3,8,3,9,6,14,1,12,3,5,5,6,1,12,13,13,1,1,1,9,6,2,3,11,2
"37081000G20",1,11,9,14,11,5,1,13,2,12,14,2,7,7,7,7,14,14,9,6,12,5,2,2,2,1,1,4,11,3,13
"3707300004N",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,7,13,1,9,12,13,13,9,9
